Beatmania Append 5th Mix,,,
Beatmania Append 5th Mix: Time To Get Down,,,
Beatmania Append Club mix,,,
Beatmania Append Gottamix,,,
Beatmania Append Gottamix 2 - Going Global,,,
Beatmania 2nd Mix,,,
Beatmania 6th Mix + Core Mix,,,
Beatmania Best Hits,,,
Beatmania - The Sound of Tokyo,,,
Beat Planet Music,,,
Bedlam (videojuego),Mirage Technologies (Multimedia) Ltd.,"GT Interactive Software(US,EU),GameBank(JP)","30 de septiembre de 1996 (DOS, Macintosh, Windows), Julio de 1997 PlayStation"
Beyblade,,,
Beyond the Beyond,,,
Big Air,,,
Big Air Snowboarding,,,
Big Bass Fishing,Coresoft,Take 2 Interactive,24 de abril del 2002
Big Bass World Championship,,,
Big Hurt Baseball,,,
Big League Slugger Baseball,,,
Big Ol' Bass 2,,,
Big Strike Bowling,,,
Billiards,,,
Bio F.R.E.A.K.S.,,Midway Games,
Bishi Bashi Special,Konami,,
Bishi Bashi Special (PAL),Konami,,
Bishi Bashi Special 2,Konami,,
Bishi Bashi Special 3: Step Champ,Konami,,
Bishoujo Senshi Sailor Moon Super S,,,
Black & White,,,
Black/Matrix 00,,,
Black/Matrix Cross,,,
Black Bass with Blue Marlin,,,
Black Dawn,,,
Blade,,,
Blade 2,,,
Blades of Blood: Samurai Shodown III,,,
Blam! Machinehead,,,
Blast Chamber,,,
Blast Lacrosse,,,
Blast Radius,,,
Blaster Master,,,
Blaster Master: Blasting Again,,,
Blasto,,,
Blaze and Blade: Eternal Quest,,,
Blazing Dragons,,,
Block Buster,,,
Blockids,,,
Blood Lines,,,
Blood Omen: Legacy of Kain,Silicon Knights,Crystal Dynamics,15 de noviembre de 1996
Bloody Roar,,,
Bloody Roar 2,,,
Blue Breaker,,,
Blue Legend of Water,,,
Blue's Big Musical,,,
Board Game Top Shop,KID,A1 Games,21 de julio de 1999
Bob the Builder: Can We Fix It?,,,
Bogey: Dead 6,,,
Boku no Natsuyasumi,,,
Bokujou Monogatari Harvest Moon for Girls,,,
Bomberman,,,
Bomberman Fantasy Race,,,
Bomberman Party Edition,,,
Bomberman Wars,,,
Bomberman World,Hudson Soft,Atlus,30 de septiembre de 1998
The Bombing Islands,,,
Boombots,,,
Bottom of the 9th,,,
Bottom of the 9th '97,,,
Bottom of the 9th '99,,,
Bounty Hunter Sara,,,
Bowling,,,
Boxing,,,
Boys Be,,,
BRAHMA Force: The Assault on Beltlogger 9,,,
Brain Dead 13,,,
Bratz,,,
Brave Charge Box,,,
Brave Fencer Musashi(Brave Fencer Musashidenen Japón),Squaresoft,Square EA,16 de julio de 199810 de noviembre de 1998
Brave Prove,,,
Bravo Air Race(Air Raceen Europa)(Reciproheat 5000en Japón),Xing Entertainment,THQ,31 de julio de 199730 de septiembre de 1997Diciembre de 1997
Breakout,,,
Break Point Tennis,,,
Breakpoint,,,
Breath of Fire III,,,
Breath of Fire IV,,,
Brian Lara Cricket,Codemasters,Codemasters,
Brigandine: Legend of Forsena,,,
Broken Helix,,,
Broken Sword: The Shadow of the Templars,,,
Broken Sword: The Smoking Mirror,,,
Brunswick Circuit Pro Bowling,,,
Brunswick Circuit Pro Bowling 2,,,
Bubble Bobble featuring Rainbow Islands,Taito,Acclaim,
Bubsy 3D,,,
Bug Riders,,,
Buggy,,,
Bugs Bunny: Lost in Time,Behaviour Interactive,Infogrames,30 de junio de 1999
Bugs Bunny and Taz: Time Busters,,,
Bugs Bunny and Taz: Time Busters & Wacky Races Twin Pack,,,
Builder's Block,,,
Burning Ace,,,
Burning Road,,,
Burstrick,,,
Burstrick Wake Boarding!!,,,
Bushido Blade,Squaresoft,Sony,14 de marzo de 199730 de septiembre de 19971 de febrero de 1998
Bushido Blade 2,SquaresoftLight Weight,SquaresoftSquare EA,19 de marzo de 199827 de octubre de 1998
Bust a Groove(Bust a Moveen Japón),,,
Bust a Groove 2(Bust a Move 2en Japón),,,
Bust-A-Move 2(Puzzle Bobble 2en Japón),Taito,,
Bust-A-Move 2 Arcade Edition,Taito,,
Bust-A-Move 3,Taito,,
Bust-A-Move 4(Puzzle Bobble 4en Japón),Taito,,
Bust-A-Move '99(Puzzle Bobble 3en Japón),Taito,,
Buster Bros. Collection,,,
Buttsubushi,,,
Buzz Lightyear of Star Command,,,26 de setiembre de 2000
Nombre del Juego Inglés / Español,Creador,Publicador,Fecha de Salida
The Contra Adventure,Appaloosa Interactive,Konami,1998
C-12: Final Resistance,SCE Studio Cambridge,SCEE,
C-12/Medievil Twin Pack,,,
C3 Racing,,,
Cabela's Big Game Hunter,,,
Cabela's Ultimate Deer Hunt,,,
Caesar's Palace,,,
Caesar's Palace 2000: Millennium Gold Edition,,,
Caesar's Palace II,,,
Calamity Adventure 1: The Natural World,,,
Calamity Adventure 2: People and Traditions,"The Lightspan Partnership, Inc.","The Lightspan Partnership, Inc.",
Calamity Adventure 3: Around the World,,,
California Surfing,,,
California Watersports,,,
Cali's Geo Tools,,,
Capcom Generations(4 CDs con 13 juegos clásicos),,,
Capcom vs SNK Pro,,,
Captain Commando,,,
Captain Tsubasa: Eikou no Kiseki,,,
